2017-05-03 19:44:55.615741: step 10, duration = 0.709
2017-05-03 19:45:02.519862: step 20, duration = 0.667
2017-05-03 19:45:09.179968: step 30, duration = 0.668
2017-05-03 19:45:15.866611: step 40, duration = 0.663
2017-05-03 19:45:22.555435: step 50, duration = 0.669
2017-05-03 19:45:29.214345: step 60, duration = 0.668
2017-05-03 19:45:36.371526: step 70, duration = 0.762
2017-05-03 19:45:43.453931: step 80, duration = 0.668
2017-05-03 19:45:51.078504: step 90, duration = 0.757
2017-05-03 19:45:57.515130: Forward across 100 steps, 0.691 +/- 0.083 sec/batch
2017-05-03 19:46:47.430352: step 10, duration = 2.589
2017-05-03 19:47:11.914971: step 20, duration = 2.283
2017-05-03 19:47:35.633133: step 30, duration = 2.755
2017-05-03 19:48:00.157334: step 40, duration = 2.338
2017-05-03 19:48:23.176429: step 50, duration = 2.269
2017-05-03 19:48:46.341901: step 60, duration = 2.288
2017-05-03 19:49:09.342442: step 70, duration = 2.268
2017-05-03 19:49:32.292074: step 80, duration = 2.293
2017-05-03 19:49:56.393504: step 90, duration = 2.291
2017-05-03 19:50:17.101311: Backward across 100 steps, 2.329 +/- 0.258 sec/batch
