2017-05-03 19:36:35.278596: step 10, duration = 0.770
2017-05-03 19:36:43.063626: step 20, duration = 0.786
2017-05-03 19:36:50.732707: step 30, duration = 0.756
2017-05-03 19:36:58.409714: step 40, duration = 0.777
2017-05-03 19:37:06.029117: step 50, duration = 0.761
2017-05-03 19:37:13.647940: step 60, duration = 0.757
2017-05-03 19:37:21.285479: step 70, duration = 0.767
2017-05-03 19:37:28.880432: step 80, duration = 0.756
2017-05-03 19:37:36.579708: step 90, duration = 0.770
2017-05-03 19:37:43.427528: Forward across 100 steps, 0.757 +/- 0.077 sec/batch
2017-05-03 19:38:46.778836: step 10, duration = 2.985
2017-05-03 19:39:16.898295: step 20, duration = 2.991
2017-05-03 19:39:47.058773: step 30, duration = 3.021
2017-05-03 19:40:18.628073: step 40, duration = 3.118
2017-05-03 19:40:49.654489: step 50, duration = 3.114
2017-05-03 19:41:20.916978: step 60, duration = 3.157
2017-05-03 19:41:52.089976: step 70, duration = 3.099
2017-05-03 19:42:23.920749: step 80, duration = 3.058
2017-05-03 19:42:54.570310: step 90, duration = 3.074
2017-05-03 19:43:22.603574: Backward across 100 steps, 3.058 +/- 0.317 sec/batch
