2017-05-06 14:18:39.316412: step 10, duration = 14.256
2017-05-06 14:21:01.783319: step 20, duration = 14.506
2017-05-06 14:23:37.454964: step 30, duration = 15.883
2017-05-06 14:26:01.767192: step 40, duration = 14.483
2017-05-06 14:28:28.186165: step 50, duration = 14.674
2017-05-06 14:30:53.665719: step 60, duration = 14.461
2017-05-06 14:33:19.040274: step 70, duration = 14.485
2017-05-06 14:35:45.959158: step 80, duration = 14.783
2017-05-06 14:38:12.936651: step 90, duration = 14.643
2017-05-06 14:40:25.375727: Forward across 100 steps, 14.512 +/- 1.740 sec/batch
2017-05-06 14:56:38.359406: step 10, duration = 46.426
2017-05-06 15:04:14.913862: step 20, duration = 44.457
2017-05-06 15:11:43.653221: step 30, duration = 44.411
2017-05-06 15:19:10.002442: step 40, duration = 44.286
2017-05-06 15:26:34.452293: step 50, duration = 44.313
2017-05-06 15:34:02.687672: step 60, duration = 44.941
2017-05-06 15:41:31.055549: step 70, duration = 44.500
2017-05-06 15:48:59.680727: step 80, duration = 44.330
2017-05-06 15:56:26.181520: step 90, duration = 44.346
2017-05-06 16:03:05.335220: Backward across 100 steps, 44.364 +/- 4.518 sec/batch
